CMMN_CD_ID,ORG_ID,LANG_CD,CD,UP_CD,CD_SEQ,CDNM,CD_VL,CD_ENNM,CD_EXPLN,GRPCD,USEYN,RGTR_ID,REG_DTTM
CMMN_CD00001,LMSBASIC,ko,ASMT_TYCD,ASMT_TYCD,0,과제유형코드,,,,,Y,admin,20260121092300
CMMN_CD00002,LMSBASIC,ko,INDV_ASMT,ASMT_TYCD,1,개별과제,,,,,Y,admin,20260121092300
CMMN_CD00003,LMSBASIC,ko,ETC_ASMT,ASMT_TYCD,2,기타과제,,,,,Y,admin,20260121092300
CMMN_CD00004,LMSBASIC,ko,PRCTC_ASMT,ASMT_TYCD,3,실기과제,,,,,Y,admin,20260121092300
CMMN_CD00005,LMSBASIC,ko,GNRL_ASMT,ASMT_TYCD,4,일반과제,,,,,Y,admin,20260121092300
CMMN_CD00006,LMSBASIC,ko,TEAM_ASMT,ASMT_TYCD,5,팀과제,,,,,Y,admin,20260121092300
CMMN_CD00007,LMSBASIC,ko,SBMSN_TYCD,SBMSN_TYCD,0,제출유형코드,,,,,Y,admin,20260121092300
CMMN_CD00008,LMSBASIC,ko,INPT_TXT,SBMSN_TYCD,1,입력텍스트,,,,,Y,admin,20260121092300
CMMN_CD00009,LMSBASIC,ko,FILE,SBMSN_TYCD,2,파일,,,,,Y,admin,20260121092300
CMMN_CD00010,LMSBASIC,ko,UNIT_TYCD,UNIT_TYCD,0,단위유형코드,,,,,Y,admin,20260121092300
CMMN_CD00011,LMSBASIC,ko,INDV,UNIT_TYCD,1,개인,,,,,Y,admin,20260121092300
CMMN_CD00012,LMSBASIC,ko,TEAM,UNIT_TYCD,2,팀,,,,,Y,admin,20260121092300
CMMN_CD00013,LMSBASIC,ko,GRP,UNIT_TYCD,3,그룹,,,,,Y,admin,20260121092300
CMMN_CD00014,LMSBASIC,ko,EVL_SCR_TYCD,EVL_SCR_TYCD,0,평가점수유형코드,,,,,Y,admin,20260121092300
CMMN_CD00015,LMSBASIC,ko,RUBRIC_SCR,EVL_SCR_TYCD,1,루브릭점수평가,,,,,Y,admin,20260121092300
CMMN_CD00016,LMSBASIC,ko,SCR,EVL_SCR_TYCD,2,점수평가,,,,,Y,admin,20260121092300
CMMN_CD00017,LMSBASIC,ko,PTCP_FULL_SCR,EVL_SCR_TYCD,3,참여만점평가,,,,,Y,admin,20260121092300
CMMN_CD00018,LMSBASIC,ko,EVL_GRDCD,EVL_GRDCD,0,평가등급코드,,,,,Y,admin,20260121092300
CMMN_CD00019,LMSBASIC,ko,A+,EVL_GRDCD,1,학점A+,,,,,Y,admin,20260121092300
CMMN_CD00020,LMSBASIC,ko,A,EVL_GRDCD,2,학점A,,,,,Y,admin,20260121092300
CMMN_CD00021,LMSBASIC,ko,B+,EVL_GRDCD,3,학점B+,,,,,Y,admin,20260121092300
CMMN_CD00022,LMSBASIC,ko,B,EVL_GRDCD,4,학점B,,,,,Y,admin,20260121092300
CMMN_CD00023,LMSBASIC,ko,C+,EVL_GRDCD,5,학점C+,,,,,Y,admin,20260121092300
CMMN_CD00024,LMSBASIC,ko,C,EVL_GRDCD,6,학점C,,,,,Y,admin,20260121092300
CMMN_CD00025,LMSBASIC,ko,D+,EVL_GRDCD,7,학점D+,,,,,Y,admin,20260121092300
CMMN_CD00026,LMSBASIC,ko,D,EVL_GRDCD,8,학점D,,,,,Y,admin,20260121092300
CMMN_CD00027,LMSBASIC,ko,NONPASS,EVL_GRDCD,9,불통과,,,,,Y,admin,20260121092300
CMMN_CD00028,LMSBASIC,ko,PASS,EVL_GRDCD,10,통과,,,,,Y,admin,20260121092300
CMMN_CD00029,LMSBASIC,ko,ASMT_SBMSN_FILE_REF_CD,ASMT_SBMSN_FILE_REF_CD,0,과제제출파일참조코드,,,,,Y,admin,20260121092300
CMMN_CD00030,LMSBASIC,ko,SBMSN_FILE ,ASMT_SBMSN_FILE_REF_CD,1,과제제출파일,,,,,Y,admin,20260121092300
CMMN_CD00031,LMSBASIC,ko,FDBK_FILE,ASMT_SBMSN_FILE_REF_CD,2,과제피드백파일,,,,,Y,admin,20260121092300
CMMN_CD00032,LMSBASIC,ko,SBMSN_STSCD,SBMSN_STSCD,0,제출상태,,,,,Y,admin,20260121092300
CMMN_CD00033,LMSBASIC,ko,NON_SBMSN,SBMSN_STSCD,1,미제출,,,,,Y,admin,20260121092300
CMMN_CD00034,LMSBASIC,ko,SBMSN_EXTD_PRD,SBMSN_STSCD,2,연장기간제출,,,,,Y,admin,20260121092300
