"TASK_TYCD","KEY_MSG","KEY","MSG","LANG_CD"
asmt,asmnt.button.cancel=Cancel,asmnt.button.cancel,Cancel,en
asmt,asmnt.button.save=Save,asmnt.button.save,Save,en
asmt,asmnt.button.mod=Modify,asmnt.button.mod,Modify,en
asmt,asmnt.button.del=Delete,asmnt.button.del,Delete,en
asmt,asmnt.button.list=List,asmnt.button.list,List,en
asmt,asmnt.button.eval=Assessment,asmnt.button.eval,Assessment,en
asmt,asmnt.button.no.eval=No-assessment,asmnt.button.no.eval,No-assessment,en
asmt,asmnt.button.asmnt.add=Register assignment,asmnt.button.asmnt.add,Register assignment,en
asmt,asmnt.button.submit.add=Submit assignment,asmnt.button.submit.add,Submit assignment,en
asmt,asmnt.button.asmnt.eval=Evaluate,asmnt.button.asmnt.eval,Evaluate,en
asmt,asmnt.button.asmnt.manage=Manage,asmnt.button.asmnt.manage,Manage,en
asmt,asmnt.button.asmnt.editing=Modify,asmnt.button.asmnt.editing,Modify,en
asmt,asmnt.button.asmnt.prev=Import previous assignment,asmnt.button.asmnt.prev,Import previous assignment,en
asmt,asmnt.button.asmnt.submit.list=Previous submission assignment list,asmnt.button.asmnt.submit.list,Previous submission assignment list,en
asmt,asmnt.button.all.submit.list=View all submission assignment,asmnt.button.all.submit.list,View all submission assignment,en
asmt,asmnt.button.score.ratio.chnage=Set score ratio,asmnt.button.score.ratio.chnage,Set score ratio,en
asmt,asmnt.button.score.ratio.save=Save score ratio,asmnt.button.score.ratio.save,Save score ratio,en
asmt,asmnt.button.change.submit=Change Submit,asmnt.button.change.submit,Change Submit,en
asmt,asmnt.button.change.submit.batch=Change Submit Batch,asmnt.button.change.submit.batch,Change Submit Batch,en
asmt,asmnt.button.change.no.submit=Change NoSubmit,asmnt.button.change.no.submit,Change NoSubmit,en
asmt,asmnt.label.asmnt=Assignment,asmnt.label.asmnt,Assignment,en
asmt,asmnt.label.asmnt.type=Category,asmnt.label.asmnt.type,Category,en
asmt,asmnt.label.all=All,asmnt.label.all,All,en
asmt,asmnt.label.list=List,asmnt.label.list,List,en
asmt,asmnt.label.type=Type,asmnt.label.type,Type,en
asmt,asmnt.label.team=Team,asmnt.label.team,Team,en
asmt,asmnt.label.ongoing=In progress,asmnt.label.ongoing,In progress,en
asmt,asmnt.label.deadline=Closed,asmnt.label.deadline,Closed,en
asmt,asmnt.label.person=People,asmnt.label.person,People,en
asmt,asmnt.label.history=History,asmnt.label.history,History,en
asmt,asmnt.label.view.history=View history,asmnt.label.view.history,View history,en
asmt,asmnt.label.horoscope=Rate,asmnt.label.horoscope,Rate,en
asmt,asmnt.label.comment=Comment,asmnt.label.comment,Comment,en
asmt,asmnt.label.mid.exam=Mid-term exam,asmnt.label.mid.exam,Mid-term exam,en
asmt,asmnt.label.end.exam=Final exam,asmnt.label.end.exam,Final exam,en
asmt,asmnt.label.asmnt.title=Title,asmnt.label.asmnt.title,Title,en
asmt,asmnt.label.asmnt.content=Content,asmnt.label.asmnt.content,Content,en
asmt,asmnt.label.score.ratio=Score ratio,asmnt.label.score.ratio,Score ratio,en
asmt,asmnt.label.score.open=Score open,asmnt.label.score.open,Score open,en
asmt,asmnt.label.send.date=Submission period,asmnt.label.send.date,Submission period,en
asmt,asmnt.label.resend.date=Re-submission period,asmnt.label.resend.date,Re-submission period,en
asmt,asmnt.label.resend.user=Resubmitter,asmnt.label.resend.user,Resubmitter,en
asmt,asmnt.label.resend.user.setting=Set resubmitter,asmnt.label.resend.user.setting,Set resubmitter,en
asmt,asmnt.label.resend.user.list=Resubmitter list,asmnt.label.resend.user.list,Resubmitter list,en
asmt,asmnt.label.nosend.user.list=No-submitter list,asmnt.label.nosend.user.list,No-submitter list,en
asmt,asmnt.label.send.status=Submission status,asmnt.label.send.status,Submission status,en
asmt,asmnt.label.eval.status=Evaluation status,asmnt.label.eval.status,Evaluation status,en
asmt,asmnt.label.individual.asmnt=Individual assignment,asmnt.label.individual.asmnt,Individual assignment,en
asmt,asmnt.label.nomal.asmnt=Regular assignment,asmnt.label.nomal.asmnt,Regular assignment,en
asmt,asmnt.label.practice.asmnt=Practical assignment,asmnt.label.practice.asmnt,Practical assignment,en
asmt,asmnt.label.subs.asmnt=Alternative assignment,asmnt.label.subs.asmnt,Alternative assignment,en
asmt,asmnt.label.submitted.work=Submitted assignments,asmnt.label.submitted.work,Submitted assignments,en
asmt,asmnt.label.open.n=Nondisclosure,asmnt.label.open.n,Nondisclosure,en
asmt,asmnt.label.marks.grade=Assignment grading,asmnt.label.marks.grade,Assignment grading,en
asmt,asmnt.label.cancel.grade=Cancel grading,asmnt.label.cancel.grade,Cancel grading,en
asmt,asmnt.label.input.asmnt_title=Title,asmnt.label.input.asmnt_title,Title,en
asmt,asmnt.label.title.card=View card type,asmnt.label.title.card,View card type,en
asmt,asmnt.label.title.list=View list type,asmnt.label.title.list,View list type,en
asmt,asmnt.label.grp.crs.all=Register in batch,asmnt.label.grp.crs.all,Register in batch,en
asmt,asmnt.label.late.send.deadline.dt=Late submission deadline,asmnt.label.late.send.deadline.dt,Late submission deadline,en
asmt,asmnt.label.late.send.deadline=Late submission,asmnt.label.late.send.deadline,Late submission,en
asmt,asmnt.label.average.horoscope=Avarage rate,asmnt.label.average.horoscope,Avarage rate,en
asmt,asmnt.label.indi.info=The assignment is given to the designated student and does not reflect the grade.,asmnt.label.indi.info,The assignment is given to the designated student and does not reflect the grade.,en
asmt,"asmnt.label.submit.info0=If you select an existing submission and save it without deleting it, the new submission will be a submission added to the existing assignment.",asmnt.label.submit.info0,"If you select an existing submission and save it without deleting it, the new submission will be a submission added to the existing assignment.",en
asmt,"asmnt.label.submit.info1=If you save a task that you have already submitted without deleting it, it will be submitted additionally.",asmnt.label.submit.info1,"If you save a task that you have already submitted without deleting it, it will be submitted additionally.",en
asmt,asmnt.label.submit.info2=Be careful not to be submitted in duplicate when resubmitting.,asmnt.label.submit.info2,Be careful not to be submitted in duplicate when resubmitting.,en
asmt,"asmnt.label.submit.info3=To delete a submitted assignment, press the assignment name and the submitted assignment items will be displayed in blue.",asmnt.label.submit.info3,"To delete a submitted assignment, press the assignment name and the submitted assignment items will be displayed in blue.",en
asmt,"asmnt.label.submit.info4=At this time, just press the Del key or press the delete file button.",asmnt.label.submit.info4,"At this time, just press the Del key or press the delete file button.",en
asmt,asmnt.label.ext.send.info=Set when you allow submissions after the submission period,asmnt.label.ext.send.info,Set when you allow submissions after the submission period,en
asmt,asmnt.message.empty=No content is registered.,asmnt.message.empty,No content is registered.,en
asmt,asmnt.message.data.empty=No assignment is registered.,asmnt.message.data.empty,No assignment is registered.,en
asmt,asmnt.message.del=Successfully deleted.,asmnt.message.del,Successfully deleted.,en
asmt,"asmnt.message.warning.del1=There is a student who is learning. If deleted, the learning information will be deleted.",asmnt.message.warning.del1,"There is a student who is learning. If deleted, the learning information will be deleted.",en
asmt,asmnt.message.warning.del2=Are you sure you want to delete it?,asmnt.message.warning.del2,Are you sure you want to delete it?,en
asmt,asmnt.message.warning.del3=No students are learning. Are you sure you want to delete it?,asmnt.message.warning.del3,No students are learning. Are you sure you want to delete it?,en
asmt,asmnt.message.error.del=An error occurred while deleting. Please proceed again in a moment.,asmnt.message.error.del,An error occurred while deleting. Please proceed again in a moment.,en
asmt,asmnt.message.score.ratio=The sum of the score ratios must be 100%.,asmnt.message.score.ratio,The sum of the score ratios must be 100%.,en
asmt,asmnt.message.presenter.del1=You have submitted information. All will be deleted.,asmnt.message.presenter.del1,You have submitted information. All will be deleted.,en
asmt,asmnt.message.presenter.del2=Are you sure you want to delete it?,asmnt.message.presenter.del2,Are you sure you want to delete it?,en
asmt,asmnt.message.presenter.del3=You have submitted a assignment. Are you sure you want to delete it?,asmnt.message.presenter.del3,You have submitted a assignment. Are you sure you want to delete it?,en
asmt,asmnt.message.not.submission.select.std=You have selected a learner who has not submitted a assignment.,asmnt.message.not.submission.select.std,You have selected a learner who has not submitted a assignment.,en
asmt,asmnt.message.no_view_big=The file size is too large to display a preview. Download and check it out.,asmnt.message.no_view_big,The file size is too large to display a preview. Download and check it out.,en
asmt,"asmnt.message.confirm_preview=If you still want to preview, click the [View] button.",asmnt.message.confirm_preview,"If you still want to preview, click the [View] button.",en
asmt,asmnt.message.no_view=This file cannot be previewed. Download and check it out.,asmnt.message.no_view,This file cannot be previewed. Download and check it out.,en
asmt,"asmnt.message.rubric_save=After selecting the grade, press the [Save] button.",asmnt.message.rubric_save,"After selecting the grade, press the [Save] button.",en
asmt,asmnt.common.search.all=All,asmnt.common.search.all,All,en
asmt,asmnt.common.search=Search,asmnt.common.search,Search,en
asmt,asmnt.common.empty=No content is registered.,asmnt.common.empty,No content is registered.,en
asmt,asmnt.common.yes=Yes,asmnt.common.yes,Yes,en
asmt,asmnt.common.no=No,asmnt.common.no,No,en
asmt,asmnt.common.prev=Previous,asmnt.common.prev,Previous,en
asmt,asmnt.common.next=Next,asmnt.common.next,Next,en
asmt,asmnt.common.alert.pop=Confirm window,asmnt.common.alert.pop,Confirm window,en
asmt,asmnt.common.confirm.pop=Choice window,asmnt.common.confirm.pop,Choice window,en
asmt,asmnt.common.no.std=No students are registered.,asmnt.common.no.std,No students are registered.,en
asmt,asmnt.common.excel.upload.warning.msg1=Only xlsx files should be uploaded and formatted. Download the sample for formatting.,asmnt.common.excel.upload.warning.msg1,Only xlsx files should be uploaded and formatted. Download the sample for formatting.,en
asmt,"asmnt.common.excel.upload.warning.msg2=If you register an incorrect format, the information may not be applied properly.",asmnt.common.excel.upload.warning.msg2,"If you register an incorrect format, the information may not be applied properly.",en
