CMMN_CD_ID,CRS_TNCY_ID,LANG_CD,CD,CD_SEQ,CDNM,CD_VL,CD_ENNM,CD_EXPLN,GRPCD,USEYN,RGTR_ID,REG_DTTM,MDFR_ID,MOD_DTTM,UP_CD_ID
CMMN_CD00060,LMSBASIC,KO,BBS,2,게시판,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00061,LMSBASIC,KO,ASMT,3,과제,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00062,LMSBASIC,KO,SRVY,4,설문,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00063,LMSBASIC,KO,MRK,5,성적,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00064,LMSBASIC,KO,SMNR,6,세미나,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00065,LMSBASIC,KO,EXAM,7,시험,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00066,LMSBASIC,KO,DSCS,8,토론,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00067,LMSBASIC,KO,TEAM,9,팀,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00068,LMSBASIC,KO,EVL,10,평가,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00069,LMSBASIC,KO,QUIZ,11,퀴즈,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00070,LMSBASIC,KO,MSG,12,메시지,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00071,LMSBASIC,KO,PRJCT,13,프로젝트,,,,,Y,admin,2.02512E+13,,,MAXSZ_ACTV_TYCD
CMMN_CD00072,LMSBASIC,KO,BBS_ACTV_TYCD,0,게시판활동유형코드,,,,,Y,admin,2.02512E+13,,,BBS_ACTV_TYCD
CMMN_CD00073,LMSBASIC,KO,LCTR,1,강의,,,,,Y,admin,2.02512E+13,,,BBS_ACTV_TYCD
CMMN_CD00074,LMSBASIC,KO,BBS,2,게시판,,,,,Y,admin,2.02512E+13,,,BBS_ACTV_TYCD
CMMN_CD00075,LMSBASIC,KO,ASMT,3,과제,,,,,Y,admin,2.02512E+13,,,BBS_ACTV_TYCD
CMMN_CD00076,LMSBASIC,KO,SRVY,4,설문,,,,,Y,admin,2.02512E+13,,,BBS_ACTV_TYCD
