DMN_GRPNM,DMN_CLSFNM,DMN_CD,DMNNM,DMN_EXPLN,DATA_TYCD,DATA_LEN,DATA_DCPT_LEN,STRG_FRM,RPRSNT_FRM,UNIT,PRM_VL
날짜시간,연월일시분초,YMDHMS_V14,연월일시분초V14,"특정한 시간을 연(年), 월(01~12), 일(01~31), 시(00~23), 분(00~59), 초(00~59)까지 정하여 문자형 데이터로 표현한 것",VARCHAR,14,,YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,연월일시분초,"YYYY : 0001~9999,MM : 01~12, DD : 01~31, HH : 00~23, MI : 00~59, SS : 00~59"
번호,계좌번호,ACTNO_V20,계좌번호V20,금융 기관 등에 예금하려고 설정한 개인명의나 법인명의 계좌에 부여하는 식별 번호,VARCHAR,20,,20자리 이내 문자,,,
명칭,주소,ADDR_V15,주소V15,"사람이 살고 있는 곳이나 기관, 회사 따위가 자리 잡고 있는 곳을 행정 구역으로 나타낸 이름 또는, 데이터가 저장되어 있는 기억 장소의 위치. 또는 그것을 나타내는 수",VARCHAR,15,,15자리 이내 문자,,,
명칭,주소,ADDR_V17,주소V17,"사람이 살고 있는 곳이나 기관, 회사 따위가 자리 잡고 있는 곳을 행정 구역으로 나타낸 이름 또는, 데이터가 저장되어 있는 기억 장소의 위치. 또는 그것을 나타내는 수",VARCHAR,17,,17자리 이내 문자,,,
명칭,주소,ADDR_V200,주소V200,"사람이 살고 있는 곳이나 기관, 회사 따위가 자리 잡고 있는 곳을 행정 구역으로 나타낸 이름 또는, 데이터가 저장되어 있는 기억 장소의 위치. 또는 그것을 나타내는 수",VARCHAR,200,,200자리 이내 문자,,,
명칭,주소,ADDR_V2000,주소V2000,"사람이 살고 있는 곳이나 기관, 회사 따위가 자리 잡고 있는 곳을 행정 구역으로 나타낸 이름 또는, 데이터가 저장되어 있는 기억 장소의 위치. 또는 그것을 나타내는 수",VARCHAR,2000,,2000자리 이내 문자,,,
명칭,주소,ADDR_V320,주소V320,"사람이 살고 있는 곳이나 기관, 회사 따위가 자리 잡고 있는 곳을 행정 구역으로 나타낸 이름 또는, 데이터가 저장되어 있는 기억 장소의 위치. 또는 그것을 나타내는 수",VARCHAR,320,,320자리 이내 문자,,,
금액,금액,AMT_N13,금액N13,돈의 액수,NUMERIC,13,,9999999999999,"9,999,999.999,999",원,
금액,금액,AMT_N15,금액N15,돈의 액수,NUMERIC,15,,999999999999999,"999,999,999,999,999",원,
금액,금액,AMT_N17,금액N17,돈의 액수,NUMERIC,17,,99999999999999999,"99,999,999,999,999,999",원,
금액,금액,AMT_N18,금액N18,돈의 액수,NUMERIC,18,,999999999999999999,"999,999,999,999,999,999",원,
금액,금액,"AMT_N2,2","금액N2,2",돈의 액수,NUMERIC,22,2,99999999999999999999.99,"99,999,999,999,999,999,999.99",원,
수량,면적,AREA_N19_9,"면적N19,9",면이 이차원의 공간을 차지하는 넓이의 크기,NUMERIC,19,9,9999999999.999999999,"9,999,999,999.999999999",㎡(제곱미터),
번호,건물본번,BMNO_N5,건물본번N5,행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 앞에 오는 주된 번호,NUMERIC,5,,99999,99999,,
번호,건물번호,BNO_V10,건물번호V10,행정안전부장관이 정하는 기준에 따라 건물(둘 이상의 건물 등이 현실적으로 하나의 집단을 형성하고 있는 경우에는 그 건물 등의 전체)마다 매긴 번호,VARCHAR,10,,10자리 이내 문자,99999-99999,,
번호,사업자등록번호,BRNO_C10,사업자등록번호C10,사업자 등록을 할 때 국세청에서 전산시스템에 따라 자동으로 부여하는 번호,CHAR,10,,10자리 문자,999-99-99999,,
번호,건물부번,BSNO_N5,건물부번N5,행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 뒤에 오는 가지 번호,NUMERIC,5,,99999,99999,,
코드,코드,CD_C1,코드C1,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,1,,1자리 문자,,,
코드,코드,CD_C10,코드C10,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,10,,10자리 문자,,,
코드,코드,CD_C12,코드C12,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,12,,12자리 문자,,,
코드,코드,CD_C2,코드C2,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,2,,2자리 문자,,,
코드,코드,CD_C3,코드C3,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,3,,3자리 문자,,,
코드,코드,CD_V5,코드V5,정보를 나타내기 위한 기호 체계로 가변형 데이터로 표현한 것,VARCHAR,5,,5자리 이내 문자,,,
코드,코드,CD_V8,코드V8,정보를 나타내기 위한 기호 체계로 가변형 데이터로 표현한 것,VARCHAR,8,,8자리 이내 문자,,,
코드,코드,CD_V10,코드V10,정보를 나타내기 위한 기호 체계로 가변형 데이터로 표현한 것,VARCHAR,10,,10자리 이내 문자,,,
코드,코드,CD_V20,코드V20,정보를 나타내기 위한 기호 체계로 가변형 데이터로 표현한 것,VARCHAR,20,,20자리 이내 문자,,,
코드,코드,CD_V30,코드V30,정보를 나타내기 위한 기호 체계로 가변형 데이터로 표현한 것,VARCHAR,30,,30자리 이내 문자,,,
코드,코드,CD_C4,코드C4,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,4,,4자리 문자,,,
코드,코드,CD_C5,코드C5,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,5,,5자리 문자,,,
코드,코드,CD_C7,코드C7,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,7,,7자리 문자,,,
코드,코드,CD_C8,코드C8,정보를 나타내기 위한 기호 체계로 고정된 데이터 길이로 표현한 것,CHAR,8,,8자리 문자,,,
LOB,CLOB,CLOB,CLOB,문자형 데이터를 정의한 것,CLOB,4294967296,,4Giga byte 문자,,,
LOB,BLOB,BLOB,BLOB,문자형 데이터를 정의한 것,BLOB,4294967296,,4Giga byte 문자,,,
내용,내용,CN_V30,내용V30,문자형 데이터를 정의한 것,VARCHAR,30,,30자리 이내 문자,,,
내용,내용,CN_V40,내용V40,문자형 데이터를 정의한 것,VARCHAR,40,,40자리 이내 문자,,,
내용,내용,CN_V100,내용V100,문자형 데이터를 정의한 것,VARCHAR,100,,100자리 이내 문자,,,
내용,내용,CN_V200,내용V200,문자형 데이터를 정의한 것,VARCHAR,200,,200자리 이내 문자,,,
내용,내용,CN_V500,내용V500,문자형 데이터를 정의한 것,VARCHAR,500,,500자리 이내 문자,,,
내용,내용,CN_V1000,내용V1000,문자형 데이터를 정의한 것,VARCHAR,1000,,1000자리 이내 문자,,,
내용,내용,CN_V1024,내용V1024,문자형 데이터를 정의한 것,VARCHAR,1024,,1024자리 이내 문자,,,
내용,내용,CN_V2000,내용V2000,문자형 데이터를 정의한 것,VARCHAR,2000,,2000자리 이내 문자,,,
내용,내용,CN_V4000,내용V4000,문자형 데이터를 정의한 것,VARCHAR,4000,,4000자리 이내 문자,,,
수량,수,CNT_N10,수N10,셀 수 있는 사물을 세어서 나타낸 값,NUMERIC,10,,9999999999,"9,999,999,999",,
