TRM_WRD_CLSFNM,TRM_WRDNM,TRM_WRD_ENGNM,TRM_WRD_ENG_ABBRNM,TRM_WRD_EXPLN,TRM_WRD_STD_DMN_CD,TRM_STD_DMNNM,TRM_PRM_VL,TRM_MNG_DEPTNM,TRM_STD_CDNM,TRM_WRK_DVSN,WRD_FRMT_WRDYN,WRD_DMN_CLSFNM,WRD_SYNMWRD_LST,WRD_BANWRD_LST,
표준단어,CANVAS,CANVAS,CANVAS,CANVAS,,,,,,,,,,,
표준단어,ERP,ERP,ERP,ERP,,,,,,,,,,,
표준단어,FOOTER,FOOTER,FTR,화면 출력에서 화면 하단부,CN_V4000,,,,,,,내용,,,
표준단어,IDS,IDS,IDS,IDS,,,,,,,,,,,
표준단어,KONAN,KONAN,KONAN,회사이름 KONAN,,,,,,,,,,,
표준단어,LCDMS,LCDMS,LCDMS,LCDMS ,,,,,,,,,,,
표준단어,OTP,ONE TIME PASSWORD,OTP,일회성 패스워드,,,,,,,,,,,
표준단어,PDF,PORTABLE DOCUMENT FORMAT,PDF,PDF. 원본 문서가 어떠한 애플리케이션에서 작성되었는지에 상관없이 여러 플랫폼 환경에서 문서를 동일하게 출력하고 디스플레이할 수 있도록 해주는 파일 포맷,,,,,,,,,,,
표준단어,Q&A,QUESTIONS AND ANSWERS,QNA,질의응답,,,,,,,,,,,
표준단어,SEC,SECURITY,SEC,SEC,,,,,,,,,,,
표준단어,SMS,SHORT MESSAGE SERVICE,SMS,"SMS. 컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고 받을 수 있는 문자 서비스",,,,,,,,,,,
표준단어,SMS수신,SHORT MESSAGE SERVICE RECEIVE,SMS_RCV,SMS_수신,,,,,,,,,,,
표준단어,SNS,SOCIAL NETWORKING SERVICE,SNS,동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스,,,,,,,,,,,
표준단어,SSL,SECURE SOCKETS LAYER,SSL,SSL. 인터넷상에서 데이터 통신 보안을 제공하는 암호 프로토콜,,,,,,,,,,,
표준단어,TMSW,TMSW,TMSW,TMSW,,,,,,,,,,,
표준단어,TOP,TOP,TOP,꼭대기,,,,,,,,,,,
표준단어,상단로고,TOP LOGO,TOP_LOGO,TOP_로고,,,,,,,,,,,
표준단어,UKNOU,U KOREA NATIONAL OPEN UNIVERSITY,UKNOU,U 한국 방송 통신 대학교,,,,,,,,,,,
표준단어,URL,UNIFORM RESOURCE LOCATOR,URL,URL,CN_V1000,,,,,,,내용,,,
표준단어,URL명,URL NAME,URLNM,URL명,CN_V1000,,,,,,,내용,,,
표준단어,X좌표,X-COORDINATE,XCRD,"직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 X축에 내린 수선의 눈금인 x를 그 점의 x좌표 또는 가로좌표라고 함",,,,,,,,,,,
표준단어,Y좌표,Y-COORDINATE,YCRD,"직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 Y축에 내린 수선의 눈금인 y를 그 점의 y좌표 또는 세로좌표라고 함",,,,,,,,,,,
표준단어,ZOOM,ZOOM,ZOOM,회사이름 ZOOM,,,,,,,,,,,
표준단어,가능,POSSIBILITY,PSBL,할 수 있거나 될 수 있음,,,,,,,,,,,
표준단어,가능여부,POSSIBLE YES OR NO,PSBLYN,가능여부,YN_C1,,,,,,,여부,,,
표준단어,가로,WIDTH,WDTH,가로. 왼쪽에서 오른쪽으로 나 있는 방향 또는 그 길이,,,,,,,,,,,
